%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752630136234699964,157,1752630136234699964,map,0.112366376933,-0.0661664691108,0.0277041711975,0.0445920387993,-0.0055549937244,-0.145447606799,0.98834492173
1752630137234445095,158,1752630137234445095,map,0.097883897173,-0.0545474189713,0.0269531330564,0.0377960509935,-0.00493846048337,-0.120173938544,0.992020818271
1752630138235070943,159,1752630138235070943,map,0.0822128206643,-0.0384025580496,0.0273828026423,0.0280448815497,-0.00295264390751,-0.084806256523,0.995998325639
1752630139233889102,160,1752630139233889102,map,0.0640934854592,-0.0205013631557,0.0224170138442,0.0163086282222,-0.00274289567749,-0.051295537239,0.998546579757
1752630140234483957,161,1752630140234483957,map,0.04102330332,-0.00972176984172,0.0165502341064,0.00944806234813,-0.00171543876323,-0.0303787269047,0.999492330135
1752630141234445095,162,1752630141234445095,map,0.0171668911768,0.000508341838572,0.00847840811078,0.00209075536252,-0.00206513923349,-0.00900489029412,0.999955131597
1752630142234477043,163,1752630142234477043,map,0.00881777347068,-0.000435177458161,0.00371584275472,-0.00051138139017,-0.00216425982902,-0.000384952587873,0.999997451898
1752630143234437942,164,1752630143234437942,map,-0.00588962519592,0.00598709144542,-0.00318425210903,-0.00581064376974,-0.00258270008286,0.0119881203846,0.999907921486
1752630144234529018,165,1752630144234529018,map,-0.0220227735269,0.0175903390498,-0.00850363737725,-0.0150816820588,-0.00269062976491,0.0337009581907,0.999314535171
1752630145234488010,166,1752630145234488010,map,-0.0311232064161,0.0254848869346,-0.00903476588929,-0.0216888144722,-0.0023379100617,0.0516350760169,0.998427734566
1752630146235601902,167,1752630146235601902,map,-0.0333187856546,0.0289939470913,-0.00995706343802,-0.0247246658537,-0.00215155400376,0.0581383436291,0.998000000153
1752630147234456062,168,1752630147234456062,map,-0.0366787480294,0.0311341349068,-0.00852869615901,-0.0267875725792,-0.00216280284721,0.0643392394525,0.997566137225
